,Title,Company,Location,Package,Description,Skills,Min_Experience,Max_Experience
23,"Data Science instructor(100% remote, Part time, Full time)",Qssot Technologies Private Limited,"Mumbai, Noida",Not Specified,"100% remote, Part time, Full time.","['Data Analysis', 'Python', 'Data Science', 'Machine Learning', 'Sql']",0,5
24,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
25,"Manager, Data Science",Amazon,"India, Bengaluru / Bangalore",Not Specified,"DESCRIPTION Advertising at Amazon is a fast-growing, multi-billion dollar business. It spans desktop, mobile and connected devices encompasses ads on Amazon and a vast network of hundreds of thousands of third-party publishers and extends across the",[],5,8
26,ACN - Applied Intelligence - CC - Data Science (IN) - 06,Accenture,Gurgaon / Gurugram,Not Specified,"Job Description About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these servi",['Analytics and Insights'],12,15
27,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,"India, Gurgaon / Gurugram",Not Specified,"About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine u",['Analytics and Insights'],,
28,Data Science Internship in Pune,Maxgen Technologies Private Limited,"Pune, Solapur",Not Specified,Internship With Professional Team.,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'BE', 'Projects', '', '', '', '']",,
29,Data Science Internship in Mumbai,Maxgen Technologies Private Limited,"Mumbai, Navi Mumbai",Not Specified,Internship on Practical Skills.,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'BE', 'Projects', '', '', '', '']",,
30,"Software Engineer NLP, Machine Learning",Global Technologies,Bengaluru / Bangalore,Not Specified,"8+ years of relevant experience Data Scientist - AI/Machine Learning, Deep Learning and NLP. Proficiency in Python (experience with Scala is a plus) Hands on experience with NLP tools (NLTK, Spacy, Stanford CoreNLP, etc) Experience with deep learning","['Spacy', 'CoreNLP', 'Data Science', 'Machine Learning', 'Nlp', 'Nltk', 'Pytorch', 'Tensorflow']",8,18
31,Data Science Analyst - Technical,Accenture,"Bengaluru / Bangalore, India",Not Specified,"About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine u",['Analytics and Insights'],3,5
32,Senior Analyst-Data Science,Accenture,"Bengaluru / Bangalore, India",Not Specified,"Skill required: Data Science - Predictive Modeling and Analytics Designation: Senior Analyst About Accenture Operations In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So how d",['Analytics and Insights'],5,8
33,Assistant Vice President - Project Manager - Data Science and Insights,Genpact,"India, Bengaluru / Bangalore",Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world diffe","['Assistant Vice President - Project Manager - Data Science and Insights', 'Digital']",,
34,AI & Machine Learning in Audio Expert(100% remote),Qssot Technologies Private Limited,"Kolkata, Mumbai",Not Specified,"100% remote, Part time, Full time.","['Artificial Neural Network', 'Artificial Intelligence', 'Deep Learning', 'Machine Learning', '']",0,10
35,AI & Machine Learning in Audio Expert (100% remote),Qssot Technologies Private Limited,"Kolkata, Mumbai",Not Specified,"100% remote, Part time, Full time.","['Artificial Neural Network', 'Artificial Intelligence', 'Deep Learning', 'Machine Learning', '']",0,10
36,Manager - Data Science - Analytics - Mumbai - Lower Parel - JM,Tata Group,"India, Mumbai",Not Specified,Major Deliverables: - 1. Drive risk analytics initiative for Retail & Mortgage Loans 2. Use sophisticated statistical techniques to design advanced analytical scorecards for customer acquisition and collection recoveries 3. Use of external d,[],,
37,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
38,"Senior Manager, Data Quality %26 Data Science",Standard Chartered,India,Not Specified,"About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody","['Data Quality %26 Data Science', 'Senior Manager']",7,10
39,"Data Science( developer, tester, python,java)-fresher",Standard Chartered,Bengaluru / Bangalore,0-0 INR Per Annum,"Translate designs and wireframes into high-quality code. Design, build and maintain high performance, reusable, and reliable Java code. Ensure the best possible performance, quality, and responsiveness of the application. Identify and correct bottl","['cloud developing', 'Java', 'python', 'Sdlc', 'Sql']",0,1
40,Business Data Scientist,Pantheon India Private Limited,Bengaluru / Bangalore,Not Specified,"Responsible for opportunity identification and advance analytical solution development (individually /leveraging) as part of Chemical Data, Analytics and Systems Business Data Science team","['Data Analysis', 'Data Science', 'Data Modeling', 'Data Visualization', 'Machine Learning', '']",2,3
41,CB_Risk _Credit Analysis Unit - Analytics (Data science)- Analyst,JP Morgan Chase & Co.,India,Not Specified,Job Description : Key Responsibilities: 1. Responsible for utilizing data analytics to evaluate various economic and real estate metrics and develop forecasts for portfolio performance. 2. Partner with US colleagues to develop actionable recom,[],,
42,Team Lead/Consultant-Data Science,Accenture,"Bengaluru / Bangalore, India",Not Specified,"Skill required: Data Science - Machine Learning Designation: Team Lead/Consultant About Accenture Operations In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So how do organizat",['Advisory'],7,11
43,Associate Principal - Data Engineering  (Architect),Change Leaders Consulting,"Noida, Cochin / Kochi / Ernakulam",Not Specified,"Experience in applying data science/quantitative modeling, Data Model, Data Quality, Data Governance,  Data ingestion design (real time/batch), ADF, Synapse, ADLS, Python/pyspark","['DATA', 'Data', 'Synapse', 'ADLS', 'Python/pysparkData Architecture', 'Data Science', '', '', '', '', '']",15,18
44,Data Science Consultant,Blue Yonder,"Bengaluru / Bangalore, India",Not Specified,"Primary Duties and Responsibilities Focuses on learning the craft and how to work in a team productively, in particular: * Supports senior team members in designing, developing, and testing new algorithms, models, or solving approaches based on mach",[],,
45,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
46,Senior Analyst-Data Science,Accenture,"India, Bengaluru / Bangalore",Not Specified,"Skill required: Data Science - Python Programming Language Designation: Senior Analyst About Accenture Operations Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched exper",['Analytics and Insights'],5,8
47,Python DS Developer - Chennai,2COMS Consulting Private Limited,Chennai,"4,75,000-9,75,000 INR Per Annum","Exp : 2 to 4 yrs About the role: We are looking for an Analyst / Senior Analyst who works in the analytics domain with a strong python background. Desired Skills, Competencies and Experience: 1-4 years of experience in working in the analyt","['Python Dev', 'Data Science']",0,5
48,Data Science Internship in Pune,Maxgen Technologies Private Limited,"Pune, Satara",Not Specified,Internship with Exeprts.,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'BE', 'Projects', '', '', '', '']",,
49,Sr. Data Engineer,GE Healthcare,"Bengaluru / Bangalore, India",Not Specified,"Job Description Summary In this role you will be responsible for designing, developing, testing and implementing data engineering processes to implement state-of-the-art data and analytics driven solutions, working across GE Healthcare to drive busin","['diversity', 'analytical', 'datasets', 'Data Mapping', 'Data Analysis', 'transformations', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",6,9
50,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
51,Data Science Application Developer,Accenture,"India, Bengaluru / Bangalore",Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int",['Software Engineering'],4,6
52,ACN - Applied Intelligence - CC - Data Science (IN) - 08,Accenture,"India, Hyderabad",Not Specified,"About Accenture: Accenture is a leading global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulti",['Analytics and Insights'],,
