,Title,Company,Location,Package,Description,Skills,Min_Experience,Max_Experience
716,Business Intelligence Engineer,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Ring is looking for an insightful and analytical Business Intelligence Analyst with strong business and technical skills to join our rapidly growing Business Intelligence team. In this role, you will be partners to various executive",['Business Intelligence Engineer'],3,6
717,Assistant Manager - PL - Prime - T2,Bajaj Finance Limited,"Kozhikode, Kozhikode / Calicut",Not Specified,"Job Summary * Assistant Manager - PL - Prime - T2 Job Purpose ""This position is open with Bajaj Finance ltd."" Data Science, Data Mining, Data co-ordination with marketing team, BI team Driving FA data campaigns Sales query resolution on regular b",[],,
718,Assistant Manager - PL - Prime - T2,Bajaj Finance Limited,Visakhapatnam,Not Specified,"Job Summary * Assistant Manager - PL - Prime - T2 Job Purpose ""This position is open with Bajaj Finance ltd."" Data Science, Data Mining, Data co-ordination with marketing team, BI team Driving FA data campaigns Sales query resolution on regular b",[],,
719,Business Analyst,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Are you passionate about driving strategic business & statistical modelling decisions by solving complex problems utilizing data? Join Amazon's Employee Resource Center (ERC) and help make a difference for all Amazonians worldwide!,['Forecasting Business Analyst'],3,6
720,Product Specialist - CTS PD,FactSet Philippines Inc,"Hyderabad / Secunderabad, Hyderabad",Not Specified,Position Name : Product Specialist Process Name : CTS Content APIs Process Owner : Garrett Patrick Location: Hyderabad Shift Timings : Flexible/Afternoon based on business requirement VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of goi,[],,
721,Security Engineer Operations,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : The Team: How often have you had an opportunity to be member of a team that is tasked with solving a huge business problem through technology innovations? Would you like to know more about the cutting edge in computer science like c,['Security Engineer Operations'],5,8
722,"Senior Business Analyst, Forecasting",Amazon,Bengaluru / Bangalore,Not Specified,Job Description : JOB DESCRIPTION Are you passionate about driving strategic business & statistical modelling decisions by solving complex problems utilizing data? Join Amazon's Global Data Insights (GDI) and help make a difference for all Amazonians,"['Forecasting', 'Senior Business Analyst']",5,8
723,"HR Business Analyst II, IN Ops Talent Development",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary Amazon is looking for an HR Business Analyst who is excited about transforming HR processes and build customer-centric, sustainable, and scalable mechanisms for Amazon's IN Ops Talent Development team. The role requires","['HR Business Analyst II', 'IN Ops Talent Development']",3,6
724,"Sr BIE, Consumables Shopping",Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Want to be part of the journey managing products and technology that reshape the shopping experience for everyday essential products for millions of customers across the world? Consumables Shopping Experience (CSE) team builds servi,"['Sr BIE', 'Consumables Shopping']",6,9
725,Data Scientist,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : AWS Trust & Safety (T&S) is looking for a Data Scientist who is passionate about using data to drive decisions that help improve safety across AWS services and build trust with customers and stakeholders. You'll have the opportunity,['Data Scientist'],5,8
726,Manager - Strategic Forecasting,Genpact,"India, Pune",Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world diffe","['Manager - Strategic Forecasting', 'Operations']",,
727,Software Development Engineer,Amazon Web Services (AWS),"India, Chennai",Not Specified,DESCRIPTION How well does Android run as a server? Can there be full stack development in Android? Even better how can we create a new mode of entertainment? Does working with top car manufacturers like BMW sound exciting? If you like to be part o,[],2,5
728,Android Developer,Success Recruitment,Thane,"4,00,000-5,00,000 INR Per Annum","• Degree in Computer Science, Engineering • 2-4 years of software development experience in Android • Have published at least one original Android app • Experience with Android SDK • Experience working with remote data via REST and JSON","['remote data via REST and JSON', 'general mobile landscape', 'latest architectures', '', '']",3,4
729,"Program Manager, Certifications (Remote, IND)",CrowdStrike,"India, Remote",Not Specified,"At CrowdStrike we're on a mission - to stop breaches. Our groundbreaking technology, services delivery, and intelligence gathering together with our innovations in machine learning and behavioral-based detection, allow our customers to not only defen",[],3,6
730,"Software Development Engineer II, Vertical Shopping Experience.",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary Amazon has come a long way since opening on the World Wide Web in July 1995. Today, we operate retail websites in multiple countries across geographies, offering products in many categories (books, media, digital, electr",[],2,5
731,Software Development Engineer,Amazon,"Bengaluru / Bangalore, India",Not Specified,DESCRIPTION About Us We are part of Amazon's Consumer Engagement organization and own all the long-term financial impact metrics for Amazon.* that are generated by applying AI and Machine Learning techniques to big data at Amazon scale. Our mission,['Software Development Engineer'],2,5
732,Senior Business Intelligence Engineer,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Amazon Web Services (AWS) provides a highly reliable, scalable, and low-cost cloud platform that powers thousands of businesses in over 190 countries. AWS Infrastructure Supply Chain & Procurement (ISCaP) organization works to deli",['Senior Business Intelligence Engineer'],8,11
733,Software Development Engineer II,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary Amazon has come a long way since opening on the World Wide Web in July 1995. Today, we operate retail websites in multiple countries across geographies, offering products in many categories (books, media, digital, electr",[],2,5
734,"HR Business Analyst, Recruiting Services",Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,Job Description : Job summary Are you passionate about driving strategic business & statistical modelling decisions by solving complex problems utilizing data? Join Amazon's Recruiting Services Analytics (RS Analytics) and help make a difference for,"['HR Business Analyst', 'Recruiting Services']",3,6
735,Python Internship in Ahmedabad,Maxgen Technologies Private Limited,"Ahmedabad, Surendranagar",Not Specified,Internship with Experts .,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'BE', 'Projects', '', '', '', '', '']",,
736,Snowflake Data Warehouse Application Developer,Accenture,"India, Pune",Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int",['Software Engineering'],4,6
737,Lead Software Engineer,Wells Fargo,Bengaluru / Bangalore,Not Specified,"Job Description : Capital Markets Technology is within the Enterprise Information Technology business and the portfolio consists of Technology solutions for Primary Markets /Investment Banking/GIB Municipal Products/Asset Backed Finance, various Se",[],12,15
738,Software Development Engineer II,Amazon,"Bengaluru / Bangalore, India",Not Specified,"DESCRIPTION Job summary Amazon has come a long way since opening on the World Wide Web in July 1995. Today, we operate retail websites in multiple countries across geographies, offering products in many categories (books, media, digital, electronics",[],2,5
739,Lead Project Management,Standard Chartered,"India, Chennai",Not Specified,"About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody",['Lead Project Management'],15,18
740,Python Developer,2COMS Consulting Private Limited,Gurgaon / Gurugram,"4,75,000-9,75,000 INR Per Annum","Brief Job Description: Drive the evolution of Azure data practices and architecture, augmenting the overarching technology strategy as well as streamlining the lay of the data ecosystem. Understand existing business processes and practices, identify",['Azure'],2,7
741,Data Engineer,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : Have you ever ordered a product on Amazon and when that box with the smile arrived, wondered how it got to you so fast? Wondered where it came from and how much it cost Amazon? If so, the Amazon Global Supply Chain Optimization Tech",['Data Engineer'],5,8
742,IT Analyst,Honeywell,"Hyderabad / Secunderabad, India",Not Specified,"Innovate to solve the world's most important challenges Key Responsibilities: * Deep knowledge of Mobile Device/ Application Management platforms like VMware Workspace ONE, Microsoft Intune, etc. * Support the life-cycle planning and roll-out","['mobile development platform', 'english', 'Computer Science', 'self-starter', 'platforms', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",3,6
743,Software Development Engineer I,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Are you seeking an environment where you can apply state-of-the-art computer science techniques, data-driven decision making and problem solving skills in a real world setting? Do you want to build large-scale reliable, fault-tolera",['Software Development Engineer I'],,
744,Software Development Engineer II,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Are you seeking an environment where you can apply state-of-the-art computer science techniques, data-driven decision making and problem solving skills in a real world setting? Do you want to build large-scale reliable, fault-tolera",['Software Development Engineer II'],2,5
745,"Software Development Engineer I, AFT",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary Are you seeking an environment where you can apply state-of-the-art computer science techniques, data-driven decision making and problem solving skills in a real world setting? Do you want to build large-scale reliable,","['Software Development Engineer I', 'AFT']",,
746,Business Research Analyst,Amazon,Chennai,Not Specified,"Job Description : Amazon.com operates in a virtual, global eCommerce environment in seven countries across the Globe. Every day, millions of customers rely on Amazon to give them access to one of the world's largest selections of consumer goods. To c",['Business Research Analyst'],1,4
747,Business Intelligence Manager,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary The Amazon IN Consumer BI Reporting and Analytics team is looking for a highly driven, customer-obsessed Business Intelligence leader who will be responsible for managing a high performing analytics team including BI En","['Business Intelligence', 'Data Analyst', 'Python', 'Perl', 'OLAP', 'Etl', 'Tableau', 'Sql', 'Data Modeling', '', '']",8,11
748,Software Development Engineer I,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Are you seeking an environment where you can apply state-of-the-art computer science techniques, data-driven decision making and problem solving skills in a real world setting? Do you want to build large-scale reliable, fault-tolera",['Software Development Engineer I'],,
749,Software Development Engineer II,Amazon,"Bengaluru / Bangalore, India",Not Specified,"DESCRIPTION Amazon.com's long-term vision is to enable a seamless experience for all Amazon customers worldwide on any Amazon website or device, in any language and for any culture. This extends to make products from any market available in any ma",['Software Development Engineer II'],2,5
750,Software Development Engineer II,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Are you seeking an environment where you can apply state-of-the-art computer science techniques, data-driven decision making and problem solving skills in a real world setting? Do you want to build large-scale reliable, fault-tolera",['Software Development Engineer II'],2,5
751,Software Development Engineer II,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Are you seeking an environment where you can apply state-of-the-art computer science techniques, data-driven decision making and problem solving skills in a real world setting? Do you want to build large-scale reliable, fault-tolera",['Software Development Engineer II'],2,5
752,Software Development Engineer,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Are you seeking an environment where you can apply state-of-the-art computer science techniques, data-driven decision making and problem solving skills in a real world setting? Do you want to build large-scale reliable, fault-tolera",['Software Development Engineer'],,
753,"Data Scientist II, Amazon Business",Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : Job summary ""Amazon Science gives you insight into the company's approach to customer-obsessed scientific innovation. Amazon fundamentally believes that scientific innovation is essential to being the most customer-centric company",[],3,6
754,Technical Architect (SCPO - Consulting),Blue Yonder,"Bengaluru / Bangalore, India",Not Specified,"Blue Yonder Title: * Technical Architect and Senior Technical Architect (Consulting) Other Comparable titles: * Architect, Enterprise Architect, Principal Architect, Application Architect, Cloud Architect, Solution Architect, SCPO Architect",[],8,14
755,Data Engineer,Amazon,Chennai,Not Specified,"Job Description : The Amazon Payments Tech Team's vision is to delight our customers with the best payment experience in the world! To achieve this vision, we are in search of a talented technical leader and craftsman who builds robust software that",['Data Engineer'],5,8
756,Business Research Analyst,Amazon,Chennai,Not Specified,"Job Description : Amazon.com operates in a virtual, global eCommerce environment in seven countries across the Globe. Every day, millions of customers rely on Amazon to give them access to one of the world's largest selections of consumer goods. To c","['Business Research Analyst', 'Etl', 'Sql', 'SAS', 'Dw Concepts']",3,6
757,Digital – Datalakes – Software Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute, a",[],0,3
758,Digital – Software Engineer III (Data Mining Engineer),FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute, a",[],2,5
759,"Applied Science II, ASR, Alexa Speech",Amazon Web Services (AWS),"Bengaluru / Bangalore, India",Not Specified,DESCRIPTION Job summary The Alexa Automatic Speech Recognition (ASR) science team in India is rapidly growing. The team is responsible for advancing Alexa's core ASR technology (in collaboration with the EU and US counterparts) and building highly a,[],,
760,Sr. Software Engineer,GE Healthcare,"Bengaluru / Bangalore, India",Not Specified,"Job Description Summary GE Healthcare is investing in SAP Hybris as its eCommerce platform for all regions globally and will be made available in each country with local translations. As a Senior developer, you will contribute to next generation digi","['Design', 'stakeholders', 'Relational Databases', 'development methodologies', 'Infrastructure', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",6,9
761,Digital – Datalakes – Software Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute, a",[],0,3
762,Digital – Software Engineer III (Data Mining Engineer),FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute, a",[],2,5
763,"Applied Science II, ASR, Alexa Speech",Amazon Web Services (AWS),"Bengaluru / Bangalore, India",Not Specified,DESCRIPTION Job summary The Alexa Automatic Speech Recognition (ASR) science team in India is rapidly growing. The team is responsible for advancing Alexa's core ASR technology (in collaboration with the EU and US counterparts) and building highly a,[],,
764,Python DS Developer - Hyderabad,2COMS Consulting Private Limited,"Hyderabad / Secunderabad, Hyderabad","5,00,000-15,00,000 INR Per Annum","Exp : 1.6 to 5 yrs About the role: We are looking for an Analyst / Senior Analyst who works in the analytics domain with a strong python background. Desired Skills, Competencies and Experience: 1-4 years of experience in working in the anal","['AzureML', 'MLModeling', 'Databricks', 'Numby', 'Python Developer', 'Pandas', 'Sklearn', '']",1,6
765,Python DS Developer - Bangalore,2COMS Consulting Private Limited,Bengaluru / Bangalore,"5,00,000-15,00,000 INR Per Annum","Exp : 1.6 - 5 yrs About the role: We are looking for an Analyst / Senior Analyst /DS who works in the analytics domain with a strong python background. Desired Skills, Competencies and Experience: 2-4 years of experience in working in the ana",['Python Pythondeveloper Pandas Numby sklearn Cloud aws azure gcp AzureAML Databricks Modelbuilding'],1,6
766,Associate Software Engineer (Full Stack)- Cumulus,Hitachi,"India, Pune",Not Specified,"Description Company - Cumulus Job Title - Associate Software Engineer (Full Stack Developer) Location - Pune Grade - EngineerSkills Required : .Strong Knowledge of good SDLC principles, Design pattern .Computer Science fundamentals in object-oriented",[],,
767,Program Manager,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : What is STAR & Community Trust? Selling Partner Trust, Abuse, Risk and Reviews (STAR) STAR focuses on building and maintaining selling partner trust, preventing multiple forms of seller and vendor abuse, and reinforcing customer tru",['Program Manager'],3,6
768,"Technical Program Manager, Cloud Capacity Planning",Google Inc,"India, Mumbai",Not Specified,"Minimum qualifications: * BS degree in Computer Science or similar technical field or equivalent practical experience. * 10 years of experience. * Experience in technical infrastructure, data centers, networking, cloud computing, supply or c","['Technical Program Manager', 'Cloud Capacity Planning', 'Python', 'Sql']",10,13
769,Cloud Application Development Engineer,Intel,"India, Bengaluru / Bangalore",Not Specified,Job Description This is a great opportunity to join as Cloud Application Development Engineer in IT Data and Analytics segment to focus on Product Engineering and application development in order to provide scalable and cost-effective solution for va,['Cloud Application Development Engineer'],5,8
770,Compiler Development Engineer,Intel,"India, Bengaluru / Bangalore",Not Specified,Job Description Intel's Ethernet Products Group (EPG) is seeking a Compiler development engineer to join its P4 toolchain team. This team is developing p4 toolchain for programmable Infrastructure Processing Units (IPUs) for infrastructure accelerati,['Compiler Development Engineer'],8,11
771,Senior Applied Scientist,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Our mission is to prevent denied parties from transacting with Amazon businesses. We build automatic mechanisms to detect and prevent prohibited transactions with the denied parties using a diverse set of algorithms and machine lear,['Senior Applied Scientist'],5,8
772,Rave Support - Team Lead/Sr. Executives,Golden Opportunities Private Limited,"Bengaluru / Bangalore, India",Not Specified,"Description Rave Support Education Qualification Any Life Science Graduate Candidate Specification Mixed Skill set of EDC, Validation, Edit Checks, Ticket Management, Incidence Management, Custom Function is an added Advantage, Location: Bangalore Ro",[],1,10
773,Business Analyst II,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : The Selling on Amazon Registration and Verification team's mission is to: (a) make it simple and fast for Sellers to register globally, (b) verify the identity of every person and business selling on Amazon, and (c) continuously imp",['Business Analyst II'],3,6
774,"Data Engineer, WW Retail Pricing",Amazon,"Bengaluru / Bangalore, India",Not Specified,"DESCRIPTION The Retail Pricing team prices everything shipped and sold by Amazon, worldwide and cross-format. We earn Customers trust by offering the best prices possible. The Base Pricing team uses science/ML to price products that are sold on Ama",[],5,8
775,Security Engineer Operations,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary The Team: Go is a new kind of store with no lines and no checkout-you just grab and go! Customers simply use the Amazon Go app to enter the store, take what they want from our selection of fresh, delicious meals and groc",['Security Engineer Operations'],5,8
776,"Senior Business Intelligence Engineer, Distribution Center Technology",Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Job summary Amazon has spent years building one of the world's most efficient and optimized supply chains. The Amazon Distribution and Fulfillment Solutions Org (ADFS) will build on that foundation and continue to innovate end-to-en,"['Business Intelligence', 'Data Warehousing', 'Data Modeling', 'Cloud Storage', 'Sql', '']",5,8
777,Applied Scientist II,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Our mission is to prevent denied parties from transacting with Amazon businesses. We build automatic mechanisms to detect and prevent prohibited transactions with the denied parties using a diverse set of algorithms and machine lear,['Applied Scientist II'],3,6
778,"Applied Science II, ASR, Alexa Speech",Amazon Web Services (AWS),"Bengaluru / Bangalore, India",Not Specified,DESCRIPTION Job summary The Alexa Automatic Speech Recognition (ASR) science team in India is rapidly growing. The team is responsible for advancing Alexa's core ASR technology (in collaboration with the EU and US counterparts) and building highly a,[],,
779,Senior Data & Applied Scientist,Microsoft,India,Not Specified,Microsoft's mission is to empower every person and every organization on the planet to achieve more and we believe that artificial intelligence will play a critical role in accomplishing that mission. The Core Search and AI team is the leading applie,[],4,7
780,Data Engineer,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,Job Description : Are you interested in innovating to help deliver Time Solutions / Time and Attendance (TAA) systems which deliver a world-class level of service to support hundreds of thousands of your fellow Amazonians working in our Fulfillment C,['Data Engineer'],3,6
781,Big Data and Analytics Cloud Capability and Platform Engineer,Intel,Bengaluru / Bangalore,Not Specified,Job Description : Job Description Job Description This is an exciting opportunity for an individual who is interested in joining a world class Big Data and Analytics (BDA) team that is fast growing and strategically important to Intel. We are lookin,['Big Data and Analytics Cloud Capability and Platform Engineer'],6,9
782,Data Scientist Job,Yash Technologies Private Limited,"India, Indore",Not Specified,"Job Description : We are looking forward to hireData Scientistwho thrives on challenges and desire to make a real difference in the business world. With an environment of extraordinary innovation and unprecedented growth, this is an exciting opportu",[],3,6
783,Sr. Manager - Delivery Manager,Genpact,"India, Bengaluru / Bangalore",Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world diffe","['Sr. Manager - Delivery Manager', 'Operations']",,
784,Business Intel Engineer II,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : Amazon is seeking a Business Intelligence Engineer for our Travel & Expense Reimbursement Audit team that provides data analytics services and solutions to enable our fraud, abuse and waste programs to scale with Amazon's growth an",['Business Analyst'],3,6
785,"Applied Scientist, Alexa Speech",Amazon,Bengaluru / Bangalore,Not Specified,Job Description : The Alexa Automatic Speech Recognition (ASR) science team in India is rapidly growing. The team is responsible for advancing Alexa's core ASR technology (in collaboration with the EU and US counterparts) and building highly accurate,"['Applied Scientist', 'Alexa Speech']",,
786,Business Intelligence Engineer II,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,Job Description : Are you excited and passionate about delivering advanced analytics that directly influence the Alexa user experience? Do you see yourself as a champion of innovating on behalf of the customer by turning data insights into action? Co,['Business Intelligence Engineer II'],5,8
787,Business Intelligence Engineer,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary At Amazon, a large portion of our business is driven by third party Sellers who set their own prices. Are you interested in owning pricing analytics to support the growth and competitiveness of our third party Seller bus","['Business Intelligence Engineer', 'Quicksight', 'Etl', 'Sql', 'S3', 'Redshift', 'Emr', 'Tableau', '']",2,5
788,Software Development Manager,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : At Finance Automation, we are passionate about building systems and services that deliver a seamless and transparent finance experience for Amazon's businesses (AWS, Retail, Alexa, Advertisement etc…) and customers. Our Services Orc",['Software Development Manager'],7,10
789,Sr. Product Manager,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Amazon.com operates in a virtual, global eCommerce environment in seven countries across the Globe. Every day, millions of customers rely on Amazon to give them access to one of the world's largest selection of consumer goods throug",['Sr. Product Manager'],5,8
790,"Applied Scientist, Traffic Quality for Twitch",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Advertising at Amazon is a fast-growing business that spans across desktop, mobile and connected devices encompasses ads on Amazon and a vast network of hundreds of thousands of third party publishers and extends across US, EU and a","['Applied Scientist', 'Traffic Quality for Twitch']",,
791,Business Intel Engineer III,Amazon,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : Amazon is seeking a Business Intelligence Engineer for our Travel & Expense Reimbursement Audit team that provides data analytics services and solutions to enable our fraud, abuse and waste programs to scale with Amazon's growth and",['Business Intel Engineer III'],3,6
792,Content Writer,TIGI HR SOLUTION PRIVATE LIMITED,Noida,Not Specified,Work as an individual contributor to independently develop and contribute in generating a large variety of content supporting the SEO and SMO initiatives.,"['Content Writing', 'SEO Writing', 'Blogs', 'Article Writing']",4,7
793,"Manager, OpsExcellence",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : At Amazon, our businesses continue to grow and expand because of our innovative technologies, extensive global retail selection, and world class operations delivery for our customers. Driving all of our businesses are our talented e","['Manager', 'OpsExcellence']",10,13
794,Program Manager,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : How we do improve Amazon's pricing strategy and onsite price experience to improve price perception among customers? This is the key question we are trying to answer at scale for the millions of customers we have worldwide. The Pric,['Program Manager'],2,5
795,Business Intelligence Engineer,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Job summary Amazon is seeking an exceptional BI Engineer to join the team. The person in this position will play a key role in supporting our Consumer Finance organization. This person will own the production and delivery of a suit,[],2,5
796,Team Lead/Consultant-Marketing & Customer Analytics,Accenture,"India, Mumbai",Not Specified,"Skill required: Marketing & Customer Analytics - Customer Analysis and Segmentation Designation: Team Lead/Consultant About Accenture Operations In today's business environment, growth isn't just about building value-it's fundamental to long-term bu",['Analytics and Insights'],7,11
797,CIB_ Fund Servicing Manager III_ Vice President,JP Morgan Chase & Co.,"Hyderabad / Secunderabad, Hyderabad",Not Specified,"Job Description : Job Description Grade : 603 Job title : Vice President The JP Morgan Depositary Services operations team provides Post Trade Compliance, Reporting services, Fund oversight & position reconciliation services to pension & Mutual Fund",[],15,18
798,Sr. Analyst - Data Engineering,DELL,"India, Remote",Not Specified,"Job Description : Senior Analyst- Data Engineering Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop",[],3,6
799,Senior Data Engineering Advisor,DELL,"India, Remote",Not Specified,"Job Description : Senior Data Engineering Advisor Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop",[],8,12
800,JC:125322 | Spark Scala AWS -- Technical Lead - DAILY,Arminus Software Private Limited,"Hyderabad, Pune",Not Specified,Job Description : Job Description: EDUCATION AND EXPERIENCE SPECIAL SKILLS TECHNOLOGIES TOOLS REQUIREMENTS include travel and or foreign language requirements if applicable When using experience as a requirement please quantify the number of years r,[],,
801,Data Engineer,Amazon,Noida,Not Specified,"Job Description : Job summary As a data engineer are you looking for opportunity to be among software developers, machine learning scientists to build a data platform that not only caters to BI and reporting but also extends to machine learning appli",['Data Engineer'],3,6
802,Senior Business Analyst,Amazon Web Services (AWS),"India, Bengaluru / Bangalore",Not Specified,"DESCRIPTION At Amazon, our businesses continue to grow and expand because of our innovative technologies, extensive global retail selection, and world class operations delivery for our customers. Driving all of our businesses are our talented employ",[],8,11
803,Quality Assurance Engineer 2,Amazon,"India, Bengaluru / Bangalore",Not Specified,"DESCRIPTION Job summary Tech QAE Prime Video is disrupting traditional media with an ever-increasing selection of movies, TV shows, Emmy Award winning original content, add-on subscriptions including HBO, and live events like Thursday Night Footba",[],4,7
804,Planning Analytics Application Analyst,Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Job summary Are you interested in being part of a growing team that leverages TM1/Planning Analytics to build robust financial reporting and planning tools that scale? Do you have a passion for solving complex business problems and,[],3,6
805,Software Engineer III,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"Responsibilities: . Develop, test and maintain ETL jobs . Troubleshooting, remediation and performance optimization . Document and diagram existing and new data workflows as well as new product features . Database and data recovery, and maintaining d",[],5,8
806,Advisor - Data Engineering,DELL,"India, Remote",Not Specified,"Job Description : Advisor- Data Engineering Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whol",[],5,8
807,Tableau Developer_ I&I,DBS,"India, Hyderabad",Not Specified,"Job Description: * Design, build, maintain and deploy complex reports in Tableau using a variety of data sources * Work with complex datasets * Take dashboard requirements and transfer into rapidly developed prototypes and working solutions",['Tableau Developer_ I&I'],8,11
808,Data Engineer,FIS Global Business Solutions India Private Limited,"Bengaluru / Bangalore, India",Not Specified,"Position Type : Full time Type Of Hire : Experienced (relevant combo of work and education) Education Desired : Bachelor of Computer Engineering Travel Percentage : 0% Are you curious, motivated, and forward-thinking? At FIS, you\u2019ll have the opp",[],,
809,"Senior Software Development Engineer – Big Data, AWS EMR",Amazon Web Services (AWS),"Bengaluru / Bangalore, India",Not Specified,DESCRIPTION Want to change the world with Big Data and Analytics? Come join us on the Amazon EMR team in Amazon Web Services! Amazon EMR is a web service which enables customers to run massive clusters with open-source data processing frameworks li,"['Senior Software Development Engineer Big Data', 'AWS EMR']",8,11
810,Software Development Engineer - Amazon Lending,Amazon Web Services (AWS),"Bengaluru / Bangalore, India",Not Specified,"DESCRIPTION Are you a driven Software Development Engineer who wants to have a direct impact on customers and the team? Do you enjoy building flexible, performant and extensible solutions for complex financial and risk problems? As a Software Develo",[],2,5
811,Software Development Engineer - Amazon Lending,Amazon Web Services (AWS),"Bengaluru / Bangalore, India",Not Specified,"DESCRIPTION Are you a driven Software Development Engineer who wants to have a direct impact on customers and the team? Do you enjoy building flexible, performant and extensible solutions for complex financial and risk problems? As a Software Develo",[],2,5
812,"Business Intelligence Engineer, Amazon Appstore",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary Amazon Appstore is a fast-growing Organization and responsible for providing delightful customer experiences across Amazon devices (FireTV, Tablets) with a vast selection of relevant apps, games, and services. The Appsto",[],5,8
